Temperature (°C),Humidity (%),Soil Moisture (%),Soil pH,Nitrogen (kg/ha),Potassium (kg/ha),Phosphorus (kg/ha),Output
15,60,40,5.5,80,150,60,1
15.25,60.5,40.5,5.55,81,151.25,60.5,2
15.5,61,41,5.6,82,152.5,61,3
15.75,61.5,41.5,5.65,83,153.75,61.5,4
16,62,42,5.7,84,155,62,5
16.25,62.5,42.5,5.75,85,156.25,62.5,6
16.5,63,43,5.8,86,157.5,63,7
16.75,63.5,43.5,5.85,87,158.75,63.5,8
17,64,44,5.9,88,160,64,9
17.25,64.5,44.5,5.95,89,161.25,64.5,10
17.5,65,45,6,90,162.5,65,11
17.75,65.5,45.5,6.05,91,163.75,65.5,12
18,66,46,6.1,92,165,66,13
18.25,66.5,46.5,6.15,93,166.25,66.5,14
18.5,67,47,6.2,94,167.5,67,15
18.75,67.5,47.5,6.25,95,168.75,67.5,16
19,68,48,6.3,96,170,68,17
19.25,68.5,48.5,6.35,97,171.25,68.5,18
19.5,69,49,6.4,98,172.5,69,19
19.75,69.5,49.5,6.45,99,173.75,69.5,20
20,70,50,6.5,100,175,70,21
20.25,70.5,50.5,6.55,101,176.25,70.5,22
20.5,71,51,6.6,102,177.5,71,23
20.75,71.5,51.5,6.65,103,178.75,71.5,24
21,72,52,6.7,104,180,72,25
21.25,72.5,52.5,6.75,105,181.25,72.5,26
21.5,73,53,6.8,106,182.5,73,27
21.75,73.5,53.5,6.85,107,183.75,73.5,28
22,74,54,6.9,108,185,74,29
22.25,74.5,54.5,6.95,109,186.25,74.5,30
22.5,75,55,7,110,187.5,75,31
22.75,75.5,55.5,7.05,111,188.75,75.5,32
23,76,56,7.1,112,190,76,33
23.25,76.5,56.5,7.15,113,191.25,76.5,34
23.5,77,57,7.2,114,192.5,77,35
23.75,77.5,57.5,7.25,115,193.75,77.5,36
24,78,58,7.3,116,195,78,37
24.25,78.5,58.5,7.35,117,196.25,78.5,38
24.5,79,59,7.4,118,197.5,79,39
